Sector,Cell,Site ID,Site Longitude,Site Latitude,BSC/RNC/MME Longitude,BSC/RNC/MME Latitude,Azimuth,Technology,Band,Cluster,CGI,Site Name,BTS/NodeB/ENodeB,Service Type
114704-0,114704-0,114704,47.2835,24.18445,120.983888,14.652777,120,FDD,1800,METRO KJ,,114704,4704_ULF,Mobile
116414-0,116414-0,116414,47.33529,24.14458,120.983888,14.652777,0,FDD,1800,METRO KJ,,116414,6414_ULF,Mobile
116425-0,116425-0,116425,47.27272,24.19664,120.983888,14.652777,0,FDD,1800,METRO KJ,,116425,6425_ULF,Mobile
114735-0,114735-0,114735,47.36469,24.17831,120.983888,14.652777,50,FDD,1800,METRO KJ,,114735,4735_ULF,Mobile
114755-0,114755-0,114755,47.3436,24.154,120.983888,14.652777,25,FDD,1800,METRO KJ,,114755,4755_ULF,Mobile
114756-0,114756-0,114756,47.35431,24.13648,120.983888,14.652777,15,FDD,1800,METRO KJ,,114756,4756_ULF,Mobile
114757-0,114757-0,114757,47.35158,24.16559,120.983888,14.652777,40,FDD,1800,METRO KJ,,114757,4757_ULF,Mobile
114733-0,114733-0,114733,47.27223,24.10524,120.983888,14.652777,40,FDD,1800,METRO KJ,,114733,4733_ULF,Mobile
114734-0,114734-0,114734,47.28873,24.12897,120.983888,14.652777,50,FDD,1800,METRO KJ,,114734,4734_U900_ULF,Mobile
114750-0,114750-0,114750,47.36912,24.14921,120.983888,14.652777,40,FDD,1800,METRO KJ,,114750,4750_ULF,Mobile
114754-0,114754-0,114754,47.34083,24.16483,120.983888,14.652777,5,FDD,1800,METRO KJ,,114754,4754_ULF,Mobile
114758-0,114758-0,114758,47.34173,24.13983,120.983888,14.652777,30,FDD,1800,METRO KJ,,114758,4758_ULF,Mobile
114702-0,114702-0,114702,47.33487,24.17166,120.983888,14.652777,20,FDD,1800,METRO KJ,,114702,4702_FDD,Mobile
114705-0,114705-0,114705,47.34596,24.13595,120.983888,14.652777,35,FDD,1800,METRO KJ,,114705,4705_FDD,Mobile
114709-0,114709-0,114709,47.36489,24.13873,120.983888,14.652777,30,FDD,1800,METRO KJ,,114709,4709_FDD,Mobile
114728-0,114728-0,114728,47.35225,24.15617,120.983888,14.652777,0,FDD,1800,METRO KJ,,114728,4728_FDD,Mobile
114732-0,114732-0,114732,47.2877,24.1068,120.983888,14.652777,0,FDD,1800,METRO KJ,,114732,4732_FDD,Mobile
116401-0,116401-0,116401,47.27031,24.12408,120.983888,14.652777,0,FDD,1800,METRO KJ,,116401,6401_FDD,Mobile
116403-0,116403-0,116403,47.282,24.1184,120.983888,14.652777,0,FDD,1800,METRO KJ,,116403,6403_FDD,Mobile
116404-0,116404-0,116404,47.29407,24.1398,120.983888,14.652777,30,FDD,1800,METRO KJ,,116404,6404_FDD,Mobile
116406-0,116406-0,116406,47.30277,24.15356,120.983888,14.652777,0,FDD,1800,METRO KJ,,116406,6406_FDD,Mobile
116407-0,116407-0,116407,47.31235,24.1565,120.983888,14.652777,0,FDD,1800,METRO KJ,,116407,6407_FDD,Mobile
116408-0,116408-0,116408,47.31275,24.1493,120.983888,14.652777,0,FDD,1800,METRO KJ,,116408,6408_FDD,Mobile
116409-0,116409-0,116409,47.31863,24.15401,120.983888,14.652777,10,FDD,1800,METRO KJ,,116409,6409_FDD,Mobile
116410-0,116410-0,116410,47.31766,24.1604,120.983888,14.652777,0,FDD,1800,METRO KJ,,116410,6410_FDD,Mobile
116411-0,116411-0,116411,47.325,24.1646,120.983888,14.652777,0,FDD,1800,METRO KJ,,116411,6411_FDD,Mobile
116415-0,116415-0,116415,47.33639,24.15319,120.983888,14.652777,20,FDD,1800,METRO KJ,,116415,6415_FDD,Mobile
116417-0,116417-0,116417,47.34764,24.17327,120.983888,14.652777,0,FDD,1800,METRO KJ,,116417,6417_FDD,Mobile
116419-0,116419-0,116419,47.3455,24.160508,120.983888,14.652777,0,FDD,1800,METRO KJ,,116419,6419_FDD,Mobile
116420-0,116420-0,116420,47.34709,24.14682,120.983888,14.652777,10,FDD,1800,METRO KJ,,116420,6420_FDD,Mobile
116421-0,116421-0,116421,47.35512,24.1273,120.983888,14.652777,50,FDD,1800,METRO KJ,,116421,6421_FDD,Mobile
116422-0,116422-0,116422,47.35884,24.15291,120.983888,14.652777,0,FDD,1800,METRO KJ,,116422,6422_FDD,Mobile
116424-0,116424-0,116424,47.29106,24.17406,120.983888,14.652777,10,FDD,1800,METRO KJ,,116424,6424_FDD,Mobile
116427-0,116427-0,116427,47.37608,24.1893,120.983888,14.652777,10,FDD,1800,METRO KJ,,116427,6427_FDD,Mobile
116537-0,116537-0,116537,47.294946,24.12422,120.983888,14.652777,0,FDD,1800,METRO KJ,,116537,6537_FDD,Mobile
114730-0,114730-0,114730,47.31279,24.16944,120.983888,14.652777,20,FDD,1800,METRO KJ,,114730,4730_ULF,Mobile
114753-0,114753-0,114753,47.27246,24.11317,120.983888,14.652777,50,FDD,1800,METRO KJ,,114753,4753_ULF,Mobile
