IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName
2001:16a2:229:ad00:51b7:4656:b849:80ea HTTP/1.1,NL,19.659,12.118,112,0,1544800473855,24.6537,46.7152,fixed,6179706c-0d48-4780-8596-0f64bd6e0b0e,AMS|FRA,1392935,Mopub
37.125.46.132 HTTP/1.1,AE,19.840,38.733,69,0,1544800474555,26.4344,50.1033,cellular,2ef6ba8a-85b4-4960-a90e-d6285f9f314f,DXB,13224155,Mopub
188.248.22.69 HTTP/1.1,GB,2.643,5.112,298,0,1544800475655,24.6537,46.7152,fixed,4e809275-849e-4f2a-b1f4-057468fc67ba,LHR,1392935,Mopub
5.244.119.5 HTTP/1.1,AE,7.343,6.218,75,0,1544800476055,21.5169,39.2192,cellular,88fa38b8-8e61-4a6d-8222-5539c34a2d3d,DXB,13224155,Mopub
37.125.157.82 HTTP/1.1,AE,5.166,3.135,77,0,1544800476055,21.5169,39.2192,fixed,8407be3b-cd9b-4da7-9da7-436247ec3467,DXB,698059,Mopub
178.80.106.139 HTTP/1.1,AE,6.713,6.361,355,0,1544800476455,26.2794,50.2083,fixed,66dbce3e-26bf-4b6b-ae53-8a78155cca16,DXB,933694,Mopub
37.107.72.2 HTTP/1.1,DE,17.935,5.527,129,0,1544800476555,24.6537,46.7152,fixed,b3ee46c3-2e90-45d0-a96f-e6a24e1db9ac,AMS|FRA,13224155,Mopub
37.105.200.217 HTTP/1.1,NL,34.056,15.271,170,0,1544800477055,24.6537,46.7152,fixed,cb0af246-2b9a-4046-8b94-b8cbec89bd91,LHR|FRA,15112320,Mopub
5.108.86.5 HTTP/1.1,AE,1.477,3.347,123,0,1544800477155,21.5169,39.2192,cellular,526bb711-081b-4c2c-811d-36b3b05cdbaf,DXB,289674,Mopub
51.253.166.55 HTTP/1.1,DE,42.416,10.793,193,0,1544800477459,21.5169,39.2192,fixed,12a96b55-0858-42c6-8528-8a2c9c51f50a,FRA|AMS,100359,Mopub
51.36.203.155 HTTP/1.1,US,6.154,0.000,230,0,1544800477759,24.6537,46.7152,cellular,eb5c6670-351c-44a9-b25e-2415a16ec8fe,RUH,783426,Mopub
51.36.138.106 HTTP/1.1,US,8.436,13.693,114,0,1544800477759,26.4344,50.1033,cellular,8c0201ba-5234-407a-82b3-f76cd1f9d386,RUH,13224155,Mopub
51.39.246.218 HTTP/1.1,US,6.277,1.249,180,0,1544800477759,26.4344,50.1033,cellular,64c4165b-c02e-4aed-9508-cdaff2c13460,RUH,783426,Mopub
178.87.19.80 HTTP/1.1,GB,8.646,6.472,125,0,1544800478159,26.4344,50.1033,fixed,dd595d4c-a21d-4220-b6bc-99b86f1f6d2d,FRA|LHR|AMS,100803,Mopub
176.47.76.152 HTTP/1.1,GB,20.086,38.998,158,0,1544800478259,21.5169,39.2192,fixed,c62a25f7-779b-40bd-aa8f-0839aa175482,AMS|LHR,15846075,Mopub
51.253.219.91 HTTP/1.1,US,3.520,9.029,174,0,1544800478459,21.5169,39.2192,fixed,99704668-a51a-41d2-8617-9a51af0ea669,AMS|FRA,16311667,Mopub
37.106.194.188 HTTP/1.1,JP,13.450,2.832,121,0,1544800479359,24.6537,46.7152,fixed,51618559-3101-485f-bf23-e45c36a932fd,FRA|LHR,15846075,Mopub
95.186.83.154 HTTP/1.1,DE,9.633,0.000,168,0,1544800479359,21.5169,39.2192,fixed,b57040cb-f2e8-411f-89cc-8f63427cd233,AMS|FRA,13224155,Mopub
51.36.10.192 HTTP/1.1,US,2.818,1.000,209,0,1544800479659,24.6537,46.7152,cellular,3843de75-b27a-4748-b163-70b035b778ce,RUH,783426,Mopub
37.42.174.194 HTTP/1.1,AE,8.834,4.989,73,0,1544800480459,24.6537,46.7152,fixed,b3d63840-3926-4408-939a-e53356c662d0,DXB,15112320,Mopub
2001:16a2:1750:600:7179:51f4:f7da:b143 HTTP/1.1,GB,25.589,15.089,156,0,1544800480760,24.6537,46.7152,fixed,d629e723-1fef-467e-9555-432c6225e17f,FRA|AMS,15846075,Mopub
37.107.74.180 HTTP/1.1,DE,4.815,2.711,315,0,1544800480953,24.6537,46.7152,fixed,103f4106-6172-495e-b634-323b0b703112,FRA|LHR,13224155,Mopub
51.218.157.237 HTTP/1.1,US,34.855,3.313,110,0,1544800481053,24.6537,46.7152,fixed,95a5acd3-f9e3-4e50-a96a-1f44ad451ce0,LHR|AMS|FRA,13224155,Mopub
95.187.155.111 HTTP/1.1,GB,38.178,21.031,150,0,1544800481353,21.5169,39.2192,cellular,e22ac0c7-cb9c-4440-85aa-ed8ddc50b241,FRA|AMS|LHR,13922456,Mopub
